FILE: Gr_10x10_9lines_bands
LATTICE_VECTORS:
24.6841602325         0.0000000000         0.0000000000
12.3420815395        21.3771090107         0.0000000000
0.0000000000         0.0000000000        39.9990577698
ATOMIC_COORDS:
x y z species
ATOMIC_COORDS:
x y z species
1.23614907 0.74794763 19.99319677 C
3.70279144 4.98718527 19.99861941 C
6.18971812 9.24940299 20.22987533 C
8.63807067 13.55293738 19.99895363 C
11.10600426 17.80221209 20.00160868 C
6.17298124 0.74794765 19.99319677 C
8.63962351 4.98718524 19.99861941 C
11.12654980 9.24940353 20.22987523 C
13.57490270 13.55293742 19.99895364 C
16.04283618 17.80221206 20.00160869 C
11.10981341 0.74794779 19.99319663 C
13.57645556 4.98718517 19.99861941 C
16.06338184 9.24940354 20.22987523 C
18.51173468 13.55293740 19.99895363 C
20.97966811 17.80221208 20.00160868 C
16.04664526 0.74794790 19.99319658 C
18.51328757 4.98718515 19.99861941 C
21.00021425 9.24940301 20.22987533 C
23.44856670 13.55293735 19.99895363 C
25.91650020 17.80221209 20.00160873 C
20.98347713 0.74794779 19.99319667 C
23.45011960 4.98718521 19.99861941 C
25.93704628 9.24940298 20.22987532 C
28.38539880 13.55293735 19.99895363 C
30.85333240 17.80221210 20.00160873 C
24.68448251 2.86457120 19.99917467 C
27.15283803 7.11349683 19.99875204 C
29.61730318 11.43648987 20.00505325 C
32.08827950 15.67584077 19.99713317 C
34.53601436 19.93779748 20.22693418 C
4.93715440 2.86457122 19.99917467 C
7.40550986 7.11349687 19.99875204 C
9.86997505 11.43648997 20.00505328 C
12.34095127 15.67584082 19.99713315 C
14.78868615 19.93779726 20.22693420 C
9.87398651 2.86457111 19.99917468 C
12.34234197 7.11349688 19.99875205 C
14.80680707 11.43649004 20.00505330 C
17.27778319 15.67584082 19.99713315 C
19.72551822 19.93779735 20.22693420 C
14.81081841 2.86457091 19.99917468 C
17.27917398 7.11349684 19.99875206 C
19.74363905 11.43648998 20.00505328 C
22.21461518 15.67584075 19.99713315 C
24.66235024 19.93779748 20.22693420 C
19.74765036 2.86457098 19.99917468 C
22.21600597 7.11349681 19.99875204 C
24.68047107 11.43648989 20.00505326 C
27.15144733 15.67584072 19.99713317 C
29.59918230 19.93779758 20.22693416 C
3.70456794 0.74794262 20.00677789 C
6.17121003 4.98718597 20.00141324 C
8.65812852 9.24942047 19.77007350 C
11.10648628 13.55292010 20.00106668 C
13.57440942 17.80221758 19.99839535 C
8.64140012 0.74794269 20.00677797 C
11.10804212 4.98718593 20.00141324 C
13.59496054 9.24942055 19.77007349 C
16.04331826 13.55292011 20.00106669 C
18.51124134 17.80221759 19.99839536 C
13.57823214 0.74794163 20.00677931 C
16.04487415 4.98718588 20.00141324 C
18.53179254 9.24942054 19.77007349 C
20.98015022 13.55292004 20.00106668 C
23.44807325 17.80221754 19.99839538 C
18.51506403 0.74794162 20.00677930 C
20.98170614 4.98718588 20.00141324 C
23.46862461 9.24942045 19.77007351 C
25.91698229 13.55292002 20.00106668 C
28.38490552 17.80221741 19.99839540 C
23.45189602 0.74794267 20.00677796 C
25.91853820 4.98718597 20.00141324 C
28.40545666 9.24942044 19.77007350 C
30.85381445 13.55292002 20.00106668 C
33.32173777 17.80221747 19.99839538 C
