FILE: /scratch/elieh5/GNR_ES/GNR_armchair_104_ES_spin.out
LATTICE_VECTORS:
55.25330077435423 0.00000000000000 0.00000000000000
0.00000000000000 30.00000000000000 0.00000000000000
0.00000000000000 0.00000000000000 17.04000000000000
ATOMIC_COORDS:
x y z species
26.998535 15.000000 4.969988 C
26.998535 15.000000 6.390012 C
25.757474 15.000000 7.097339 C
25.757474 15.000000 8.522661 C
26.998535 15.000000 9.229988 C
26.998535 15.000000 10.650012 C
25.757474 15.000000 11.357339 C
25.757474 15.000000 12.782661 C
26.998535 15.000000 13.489988 C
26.998535 15.000000 14.910012 C
25.757474 15.000000 15.617339 C
23.279041 15.000000 -0.000205 C
24.520541 15.000000 0.707090 C
24.520541 15.000000 2.132910 C
23.279041 15.000000 2.840205 C
23.279041 15.000000 4.259795 C
24.520541 15.000000 4.967090 C
24.520541 15.000000 6.392910 C
23.279041 15.000000 7.100205 C
23.279041 15.000000 8.519795 C
24.520541 15.000000 9.227090 C
24.520541 15.000000 10.652910 C
23.279041 15.000000 11.360205 C
23.279041 15.000000 12.779795 C
24.520541 15.000000 13.487090 C
24.520541 15.000000 14.912910 C
23.279041 15.000000 15.620205 C
20.798500 15.000000 0.003973 C
22.035991 15.000000 0.707116 C
22.035991 15.000000 2.132884 C
20.798500 15.000000 2.836027 C
20.798500 15.000000 4.263973 C
22.035991 15.000000 4.967116 C
22.035991 15.000000 6.392884 C
20.798500 15.000000 7.096027 C
20.798500 15.000000 8.523973 C
22.035991 15.000000 9.227116 C
22.035991 15.000000 10.652884 C
20.798500 15.000000 11.356027 C
20.798500 15.000000 12.783973 C
22.035991 15.000000 13.487116 C
22.035991 15.000000 14.912884 C
20.798500 15.000000 15.616027 C
18.310005 15.000000 0.003141 C
19.557050 15.000000 0.711376 C
19.557050 15.000000 2.128624 C
18.310005 15.000000 2.836859 C
18.310005 15.000000 4.263141 C
19.557050 15.000000 4.971376 C
19.557050 15.000000 6.388624 C
18.310005 15.000000 7.096859 C
18.310005 15.000000 8.523141 C
19.557050 15.000000 9.231376 C
19.557050 15.000000 10.648624 C
18.310005 15.000000 11.356859 C
18.310005 15.000000 12.783141 C
19.557050 15.000000 13.491376 C
19.557050 15.000000 14.908624 C
18.310005 15.000000 15.616859 C
15.853940 15.000000 -0.023645 C
17.071918 15.000000 0.702405 C
17.071918 15.000000 2.137595 C
15.853940 15.000000 2.863645 C
15.853940 15.000000 4.236355 C
17.071918 15.000000 4.962405 C
17.071918 15.000000 6.397595 C
15.853940 15.000000 7.123645 C
15.853940 15.000000 8.496355 C
17.071918 15.000000 9.222405 C
17.071918 15.000000 10.657595 C
15.853940 15.000000 11.383645 C
15.853940 15.000000 12.756355 C
17.071918 15.000000 13.482405 C
17.071918 15.000000 14.917595 C
15.853940 15.000000 15.643645 C
14.892146 15.000000 0.496216 S
14.892146 15.000000 2.343784 S
14.892146 15.000000 4.756216 S
14.892146 15.000000 6.603784 S
14.892146 15.000000 9.016216 S
14.892146 15.000000 10.863784 S
14.892146 15.000000 13.276216 S
14.892146 15.000000 15.123784 S
42.820667 15.000000 0.213784 S
42.820667 15.000000 2.626216 S
42.820667 15.000000 4.473784 S
42.820667 15.000000 6.886216 S
42.820667 15.000000 8.733784 S
42.820667 15.000000 11.146216 S
42.820667 15.000000 12.993784 S
42.820667 15.000000 15.406216 S

FILE: /scratch/elieh5/GNR_ES/GNR_armchair_14_ES.out
LATTICE_VECTORS:
33.1176921   0.0000000   0.0000000
0.0000000  30.0000006   0.0000000
0.0000000   0.0000000  17.0400003
ATOMIC_COORDS:
x y z species
15.94396799 15.00000029 0.00000000 C
17.17372409 15.00000029 0.71000001 C
17.17372409 15.00000029 2.13000004 C
15.94396799 15.00000029 2.84000005 C
15.94396799 15.00000029 4.26000008 C
17.17372409 15.00000029 4.97000009 C
17.17372409 15.00000029 6.39000012 C
15.94396799 15.00000029 7.10000013 C
15.94396799 15.00000029 8.52000016 C
17.17372409 15.00000029 9.23000018 C
17.17372409 15.00000029 10.65000020 C
15.94396799 15.00000029 11.36000022 C
15.94396799 15.00000029 12.78000024 C
17.17372409 15.00000029 13.49000026 C
17.17372409 15.00000029 14.91000028 C
15.94396799 15.00000029 15.62000030 C
15.00000029 15.00000029 0.54500001 S
15.00000029 15.00000029 2.29500004 S
15.00000029 15.00000029 4.80500009 S
15.00000029 15.00000029 6.55500012 S
15.00000029 15.00000029 9.06500017 S
15.00000029 15.00000029 10.81500021 S
15.00000029 15.00000029 13.32500025 S
15.00000029 15.00000029 15.07500029 S
18.11769180 15.00000029 0.16500000 S
18.11769180 15.00000029 2.67500005 S
18.11769180 15.00000029 4.42500008 S
18.11769180 15.00000029 6.93500013 S
18.11769180 15.00000029 8.68500016 S
18.11769180 15.00000029 11.19500021 S
18.11769180 15.00000029 12.94500025 S
18.11769180 15.00000029 15.45500029 S

FILE: /scratch/elieh5/GNR_ES/GNR_armchair_14_ES_spin.out
LATTICE_VECTORS:
33.1176921   0.0000000   0.0000000
0.0000000  30.0000006   0.0000000
0.0000000   0.0000000  17.0400003
ATOMIC_COORDS:
x y z species
15.94396799 15.00000029 0.00000000 C
17.17372409 15.00000029 0.71000001 C
17.17372409 15.00000029 2.13000004 C
15.94396799 15.00000029 2.84000005 C
15.94396799 15.00000029 4.26000008 C
17.17372409 15.00000029 4.97000009 C
17.17372409 15.00000029 6.39000012 C
15.94396799 15.00000029 7.10000013 C
15.94396799 15.00000029 8.52000016 C
17.17372409 15.00000029 9.23000018 C
17.17372409 15.00000029 10.65000020 C
15.94396799 15.00000029 11.36000022 C
15.94396799 15.00000029 12.78000024 C
17.17372409 15.00000029 13.49000026 C
17.17372409 15.00000029 14.91000028 C
15.94396799 15.00000029 15.62000030 C
15.00000029 15.00000029 0.54500001 S
15.00000029 15.00000029 2.29500004 S
15.00000029 15.00000029 4.80500009 S
15.00000029 15.00000029 6.55500012 S
15.00000029 15.00000029 9.06500017 S
15.00000029 15.00000029 10.81500021 S
15.00000029 15.00000029 13.32500025 S
15.00000029 15.00000029 15.07500029 S
18.11769180 15.00000029 0.16500000 S
18.11769180 15.00000029 2.67500005 S
18.11769180 15.00000029 4.42500008 S
18.11769180 15.00000029 6.93500013 S
18.11769180 15.00000029 8.68500016 S
18.11769180 15.00000029 11.19500021 S
18.11769180 15.00000029 12.94500025 S
18.11769180 15.00000029 15.45500029 S

FILE: /scratch/elieh5/GNR_ES/GNR_armchair_14_bands.out
