FILE: /scratch/elieh5/Gr_sqr_WFSX/GrS_sqr2x2_1line_bands.out
LATTICE_VECTORS:
9.8243839   0.0000000   0.0000000
0.0000000   8.5082475   0.0000000
0.0000000   0.0000000  37.1732681
ATOMIC_COORDS:
x y z species
8.60412651 4.65643576 18.61324821 C
8.60415818 8.91059582 18.61325640 C
8.60410574 13.16469649 18.61310128 C
13.51432905 0.40133884 18.05822699 C
13.51431020 4.65547989 18.05821510 C
13.51429164 8.90960876 18.05812923 C
13.51430762 13.16372507 18.05804811 C
18.43427010 0.41894842 17.92414846 C
18.43424633 4.67304179 17.92424016 C
18.43423329 8.92715693 17.92413586 C
18.43424230 13.18132884 17.92411320 C
0.08410455 3.97894595 17.98104071 C
0.08409080 8.23304658 17.98097127 C
0.08410052 12.48719777 17.98100049 C
0.08413028 16.74133229 17.98100401 C
4.90679606 3.94988408 18.88048408 C
4.90678388 8.20400158 18.88021528 C
4.90673416 12.45812049 18.88014249 C
4.90675172 16.71225601 18.88035661 C
9.83185697 3.94860339 18.47099502 C
9.83186647 8.20273713 18.47104991 C
9.83186493 12.45686955 18.47097716 C
9.83184884 16.71099589 18.47092038 C
14.74525993 3.94721963 17.96605053 C
14.74526562 8.20134423 17.96592410 C
14.74525967 12.45550007 17.96581891 C
14.74526082 16.70961877 17.96603822 C
2.45538350 3.93450652 18.86637244 C
2.45539495 8.18861385 18.86617441 C
2.45533171 12.44273046 18.86624994 C
2.45533965 16.69685978 18.86636223 C
7.37529393 3.94985300 18.73506883 C
7.37527926 8.20398242 18.73494637 C
7.37526497 12.45809530 18.73482327 C
7.37526232 16.71223361 18.73491873 C
12.28556383 3.94881040 18.17994557 C
12.28556404 8.20291697 18.17995292 C
12.28557164 12.45707685 18.17987386 C
12.28557027 16.71122047 18.17989316 C
17.21615688 3.95327721 17.89946148 C
17.21617479 8.20738832 17.89934650 C
17.21617318 12.46152018 17.89928084 C
17.21617150 16.71564618 17.89944085 C
0.08407120 2.50231163 17.98083784 C
0.08402770 6.75639774 17.98084978 C
0.08400806 11.01053093 17.98085274 C
0.08403092 15.26468986 17.98088630 C
4.90669208 2.53000261 18.88037950 C
4.90671223 6.78411668 18.88018404 C
4.90668520 11.03826046 18.88000691 C
4.90668124 15.29237273 18.88011721 C
9.83174421 2.52961697 18.47082805 C
9.83177150 6.78378191 18.47085509 C
9.83176760 11.03791618 18.47089965 C
9.83173098 15.29200796 18.47074468 C
14.74509752 2.53070341 17.96580990 C
14.74505017 6.78484255 17.96575667 C
14.74506142 11.03896131 17.96556325 C
14.74508909 15.29306499 17.96569868 C
2.45528702 2.54631241 18.86664190 C
2.45528874 6.80040910 18.86657784 C
2.45525570 11.05456284 18.86653591 C
2.45526217 15.30868544 18.86664034 C
7.37527024 2.52888776 18.73521754 C
7.37527955 6.78302868 18.73511869 C
7.37526514 11.03717059 18.73502205 C
7.37525271 15.29126713 18.73497672 C
12.28547996 2.52904871 18.18020896 C
12.28547668 6.78317097 18.18018421 C
12.28548653 11.03730674 18.18016613 C
12.28548207 15.29142239 18.18009830 C
17.21603269 2.52609041 17.89971025 C
17.21601401 6.78020556 17.89971646 C
17.21599347 11.03433045 17.89956856 C
17.21600682 15.28846914 17.89970551 C
0.56499409 1.11369894 20.41198456 S
0.56512509 5.36779660 20.41201122 S
0.56509683 9.62173767 20.41190725 S
0.56505246 13.87593461 20.41195998 S
0.67571176 3.24116246 16.37747678 S
0.67559282 7.49510191 16.37747627 S
0.67567705 11.74920505 16.37753312 S
0.67577187 16.00335187 16.37751991 S
