FILE: /scratch/elieh5/CNT_final/CNT_10x10_ring2_0S_DOS.out
LATTICE_VECTORS:
56.9141921997         0.0000000000         0.0000000000
0.0000000000        56.9141921997         0.0000000000
0.0000000000         0.0000000000         4.9100005000
ATOMIC_COORDS:
x y z species
35.15994129 29.91240784 1.49298401 C
35.15845085 29.91137201 3.94773259 C
34.95033664 30.60098136 0.26510687 C
34.94892553 30.60116356 2.72002580 C
34.31735679 31.88554199 0.26515664 C
34.31616821 31.88568627 2.71945413 C
33.90721215 32.47635169 1.49186518 C
33.89985664 32.47346969 3.94754963 C
32.93078593 33.52689673 1.49060540 C
32.92462814 33.51928238 3.94700823 C
32.37617273 33.98791180 0.26462126 C
32.37069505 33.97572115 2.71757431 C
31.17234430 34.76993878 0.26789461 C
31.16245883 34.74462908 2.71097012 C
30.54373224 35.08463818 1.49051029 C
30.50233847 35.05364806 3.94515618 C
29.17624142 35.64332703 1.51456108 C
29.12954431 35.40184580 3.93290702 C
28.37660618 35.67709817 0.24735024 C
28.40267028 35.43437998 2.73936984 C
26.96623925 35.23993113 0.27254633 C
27.00503264 35.20604813 2.72806066 C
26.31273555 34.98219904 1.49564627 C
26.32065086 34.95500913 3.96234322 C
25.04614663 34.30693422 1.50027774 C
25.05027710 34.29435030 3.95725111 C
24.45316623 33.89622874 0.27465692 C
24.45864124 33.88781661 2.72826475 C
23.38693034 32.93705741 0.27472748 C
23.39324957 32.93405791 2.72906522 C
22.92452910 32.38603350 1.50170532 C
22.92547993 32.38624241 3.95749408 C
22.17819579 31.16400074 1.50222946 C
22.17934510 31.16415421 3.95740723 C
21.90800149 30.49696592 0.27452747 C
21.90947961 30.49590030 2.72986544 C
21.59951233 29.09809888 0.27348871 C
21.59906966 29.09801628 2.72865762 C
21.56346072 28.37858385 1.50076880 C
21.56251673 28.37822417 3.95607080 C
21.72975203 26.95625004 1.50032016 C
21.72881727 26.95568402 3.95529988 C
21.92797751 26.26328762 0.27273742 C
21.92683041 26.26304925 2.72773028 C
22.53428616 24.96545087 0.27292459 C
22.53359038 24.96552292 2.72804605 C
22.93736177 24.36827625 1.50047913 C
22.93729036 24.36853900 3.95525195 C
23.90869323 23.31626549 1.50022074 C
23.90826046 23.31648087 3.95499784 C
24.47083483 22.86691982 0.27232651 C
24.47092668 22.86681647 2.72770834 C
25.71394829 22.15744393 0.27199193 C
25.71409607 22.15753510 2.72724076 C
26.38801081 21.90389990 1.49968295 C
26.38814117 21.90374648 3.95463430 C
27.79143082 21.61915570 1.49965792 C
27.79149357 21.61936572 3.95461231 C
28.51159063 21.58911087 0.27202077 C
28.51154408 21.58932825 2.72709564 C
29.93392412 21.75402002 0.27128780 C
29.93384931 21.75389257 2.72633809 C
30.62735512 21.94766449 1.49867481 C
30.62725315 21.94780425 3.95342663 C
31.92881989 22.54327395 1.49702961 C
31.92868334 22.54317292 3.95159269 C
32.52878570 22.94050362 0.26889271 C
32.52929244 22.94059826 2.72404669 C
33.58960939 23.90223824 0.26743958 C
33.58974719 23.90249204 2.72265088 C
34.04392203 24.46116245 1.49475016 C
34.04454370 24.46131310 3.94966820 C
34.76365490 25.69931975 1.49431861 C
34.76465522 25.69905478 3.94935342 C
35.02325683 26.37125342 0.26671958 C
35.02409062 26.37052067 2.72169328 C
35.31603784 27.77240690 0.26640010 C
35.31687640 27.77186210 2.72110515 C
28.85167558 37.38725919 0.87822227 S

FILE: /scratch/elieh5/CNT_final/CNT_10x10_ring2_1S_DOS_buckling.out
